"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,200.62546278639695,12038,4.804201619371981,5.12948,5.230179499999999
4g.20gb,189.70140454684778,11383,5.084316880172216,5.569948800000001,5.690964899999999
3g.20gb,187.9981656486316,11280,5.1363120246453855,5.6984919000000005,5.87674555
2g.10gb,144.0669561643251,8645,6.746395316136481,7.2037122,7.3706059999999995
1g.10gb,134.92784814075725,8096,7.224926101284612,7.48826,7.5987504999999995
1g.5gb+me,108.73830064325563,6525,8.98879446452107,9.3628496,9.5416808
1g.5gb,107.79661407780944,6468,9.074941595238077,9.47122,9.61628265
