"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,38.73225272478505,2324,25.620640312822708,27.629819400000002,28.435918949999998
4g.20gb,33.769160096596586,2027,29.409146420325634,31.0196538,31.8190964
3g.20gb,34.13341936500041,2049,29.097090080039084,31.1133756,32.0846036
2g.10gb,25.600233563139625,1537,38.86392894469741,40.5325082,41.150391
1g.10gb,20.13259374163472,1209,49.46156515219185,51.0284518,51.6032954
1g.5gb+me,18.37495543685775,1103,54.21342328467816,54.4331918,55.0208654
1g.5gb,18.391637333539425,1104,54.16359906068833,54.376749100000005,54.65953245
