"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,33.56415197327253,2014,29.59978951688188,32.150524,33.08457675
4g.20gb,25.524096459329623,1532,38.96751692689298,39.2437387,39.4548374
3g.20gb,24.133726831927223,1449,41.23322042650104,41.329896000000005,41.542293599999994
2g.10gb,13.6310046138682,818,73.16082454767722,73.0943176,73.26171595000001
1g.10gb,9.86625856762691,592,101.11397315878371,101.2594198,102.28339285
1g.5gb+me,7.953705789971024,478,125.5013014058577,124.9102123,125.2763384
1g.5gb,7.970104724205173,479,125.25429654279763,124.9956726,125.3549847
