"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,18.207507433460954,1093,54.71841754071363,56.635475400000004,57.69628819999999
4g.20gb,18.447099303394783,1107,54.00377854381213,57.6860444,59.8834559
3g.20gb,18.586103838020975,1116,53.60035340680997,55.9772485,56.93164925000001
2g.10gb,18.549105411889286,1113,53.6982507834681,55.6346976,56.443008199999994
1g.10gb,17.818463774530866,1070,55.89678582710271,58.2175733,59.54183295
1g.5gb+me,17.039496828879425,1023,58.453988765396,61.9635082,64.6685837
1g.5gb,18.107804143562504,1087,55.02549051977916,56.7879586,57.7112026
