"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,78.54226426897816,4713,12.538364060683207,14.506827200000002,14.757022
4g.20gb,77.67088264553723,4661,12.673566232353581,14.742991,15.00037
3g.20gb,76.97188897584506,4619,12.801658129248748,14.7748252,15.026621
2g.10gb,70.10567662037695,4207,14.072087660803433,15.851689,16.0311445
1g.10gb,59.047370285015326,3543,16.728204311035828,18.0519492,18.350447999999997
1g.5gb+me,57.39549493385667,3444,17.21858876916377,18.3365511,18.663834400000002
1g.5gb,56.82256785274351,3410,17.397302313196505,18.6384063,18.9297805
