"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,112.09204785758523,6726,8.732853216622052,10.362786,10.516649000000001
4g.20gb,108.00210132147892,6481,9.06897882826723,10.532416,10.817801
3g.20gb,107.60493948581006,6457,9.102304300294255,10.909824800000004,11.2607126
2g.10gb,104.97402201336149,6299,9.334052279091884,11.121595000000001,11.3918992
1g.10gb,105.74702466998977,6345,9.266278997478304,10.8565392,11.022595
1g.5gb+me,102.42436180765411,6146,9.570447108525865,11.230248,11.4726775
1g.5gb,101.58958656789466,6096,9.64512267175196,11.18935,11.39357725
