"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,55.718719883447164,3344,17.753810882775127,18.6275847,18.828916500000002
4g.20gb,47.20419457184777,2833,20.991919146487774,21.3722586,21.4967426
3g.20gb,34.744108978816016,2085,28.592363175539592,28.94721,29.0541264
2g.10gb,24.974603665413838,1499,39.84778299866576,40.0377222,40.130621899999994
1g.10gb,13.871598861194723,833,71.88231246698682,72.0407666,72.2599574
1g.5gb+me,13.518842064286124,812,73.76552935098522,73.91083569999999,74.0303368
1g.5gb,13.578059270003857,815,73.44001343926384,73.669562,73.8402226
