"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,87.43164143926826,5246,11.24949897083492,12.748560000000001,12.975893500000002
4g.20gb,86.82829180775472,5210,11.3189463508637,13.0411672,13.2690285
3g.20gb,87.03095025221178,5223,11.290808565575375,13.1328596,13.486116599999999
2g.10gb,90.02514374750703,5402,10.918579549796366,12.8533069,13.0793158504936
1g.10gb,83.47785924627861,5009,11.772644660411224,13.3722362,13.613881
1g.5gb+me,85.84215136482787,5151,11.460665239759262,13.262,13.650814
1g.5gb,86.84467155254258,5211,11.321630608904227,13.048886,13.234669499999999
