"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,59.241757852208046,3555,16.691356569620257,18.6811636,19.1959117
4g.20gb,56.994786632721656,3420,17.338764089766062,19.1789333,19.79972385
3g.20gb,59.405845635448934,3565,16.641940532678813,18.5767978,19.321644999999997
2g.10gb,54.821067017255565,3290,18.030516210334362,20.089487300000002,20.8848541
1g.10gb,56.178122760014425,3371,17.602937316819965,19.51247,20.171119500000003
1g.5gb+me,57.375517143133614,3443,17.240754533836817,19.5467806,20.203732900000002
1g.5gb,58.03311989719054,3482,17.031467961229144,19.4172767,20.0472384
