"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,59.71737934874368,3584,16.55456427901783,17.3998284,17.59703415
4g.20gb,47.46558378367386,2848,20.875768807935415,21.401482299999998,21.5277521
3g.20gb,39.790991513833944,2388,24.933146360552776,25.3164343,25.46597685
2g.10gb,32.55894179237105,1954,30.509808193449384,35.145544199999996,36.522022199999995
1g.10gb,15.790646891928297,948,63.1160068670887,63.1835566,63.2845503
1g.5gb+me,11.705039883363536,703,85.21419495874821,86.5938406,86.8254199
1g.5gb,11.695389508262542,702,85.27568907977216,86.7152319,86.95082645000001
