"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,83.85436151428915,5032,11.726724038950735,14.131129000000001,14.31929435
4g.20gb,81.62448778010035,4898,12.050692317476502,14.2208913,14.46770835
3g.20gb,80.73685942216048,4845,12.188749457378746,14.458414600000001,14.755281799999999
2g.10gb,81.6858439657695,4902,12.040354760301934,14.4034379,14.631560949999999
1g.10gb,82.39927260943448,4944,11.944245823017804,14.3005527,14.533312
1g.5gb+me,81.91597601791774,4916,12.012186753254634,14.3553385,14.58180725
1g.5gb,80.34932355243656,4821,12.25597599979259,14.27113,14.471364
