"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,108.38066383449124,6503,9.03737473489156,10.8742668,11.037689899999998
4g.20gb,102.2124591606305,6133,9.594135801402256,11.089323,11.2777614
3g.20gb,92.67741771985865,5561,10.604660932566086,11.321177,11.541449
2g.10gb,72.07118744397798,4325,13.665793016184978,14.2203216,14.4150708
1g.10gb,45.5282572126529,2732,21.76086736932647,22.045845,22.16068845
1g.5gb+me,43.49555220355066,2610,22.78548790344822,23.1925832,23.3675421
1g.5gb,44.076107044564345,2645,22.490966153119036,22.816697,22.9306964
