"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,33.75332164626538,2026,29.424416396347446,31.537565,32.18208
4g.20gb,33.69133691172551,2022,29.47668704104848,31.4536637,32.19876325
3g.20gb,34.174163076574516,2051,29.06874008191127,30.903918,31.739787999999997
2g.10gb,30.86749510224206,1853,32.1854861025364,33.1978124,34.0735284
1g.10gb,28.09579851682873,1686,35.38065344780544,36.4478295,37.176347
1g.5gb+me,25.459549332536827,1528,39.04857330562821,39.8396535,40.44210089999999
1g.5gb,26.20375902732082,1573,37.95678042530195,38.8081174,39.470430799999995
