"gpu_quota","throughput","req_count","avg_latency","p90_latency","p95_latency"
3,34.14715195280754,2049,28.876134413860427,29.633614400000003,30.509360399999995
4,34.319492025375304,2060,28.737229883495132,29.483366500000002,30.127351
5,50.016104555674005,3001,19.600879792735746,20.880197,21.882506
6,50.983034995907445,3059,19.24804431644324,20.995945000000003,22.002405099999997
7,50.98643673341152,3060,19.247828852941222,20.8589994,21.85841235
8,54.30845844190585,3259,18.012029355323712,19.9404022,21.0050021
9,53.487451731500144,3210,18.294234322429915,19.8712564,21.143709
10,55.14914889513408,3309,17.755867436990037,19.9379916,20.7907722
15,54.75374136889527,3286,17.885881353317163,19.418419999999998,20.1410275
20,55.03332628989121,3303,17.78483264940958,19.422183399999998,20.400070399999997
25,54.5697911420776,3275,17.94567391053437,19.442740999999998,20.32594079999999
30,55.939555040868846,3357,17.49470407804589,19.1266878,20.114814600000003
35,57.06018840284457,3424,17.156694034170567,19.561222900000004,20.48363785
40,55.70325005705731,3343,17.57613718306905,19.2720712,20.289421399999995
45,56.69867240650539,3403,17.263759281516318,19.1281664,20.1030201
50,56.923186654824704,3416,17.18700293940278,19.229812000000003,20.115854249999998
55,57.55616969618324,3454,16.994812640995985,18.8059717,19.76109635
60,58.283057978606266,3498,16.787838141509436,19.4418499,20.40971565
65,59.549611699809454,3573,16.40634220179118,18.622296000000002,19.621906
70,56.378885435803944,3383,17.336695702335174,19.299929200000005,20.462243299999997
75,57.206726074122656,3433,17.1077129752403,19.3270348,20.231419599999995
80,57.013614626201445,3421,17.140957579655066,19.123696,20.117969
85,59.23452017373606,3555,16.51149209057666,19.064319,20.0779151
90,57.25313570199225,3436,17.064322106519175,19.2609905,20.21794475
95,59.819404695014015,3590,16.353419141782656,18.8321137,19.655575199999994
100,61.84975321356713,3712,15.824868219827568,19.653378,20.6779054
