"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,47.1780565817183,2831,21.00380162769342,23.253454,24.2875555
4g.20gb,45.81361001467601,2749,21.62749067842856,23.996889200000002,24.7839882
3g.20gb,45.88205546073618,2753,21.601920565201663,23.963567400000002,24.6531526
2g.10gb,42.44244748813784,2547,23.36681483706323,25.1450846,25.9201613
1g.10gb,39.796262575123066,2388,24.924576244556093,26.8506388,27.56761665
1g.5gb+me,38.61318411849245,2317,25.696291048338406,27.737239600000002,28.2127788
1g.5gb,39.176733840140336,2351,25.31838172479797,27.306183,27.948386
