"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,32.81962887919182,1970,30.269355792893464,32.231273300000005,33.13801795
4g.20gb,31.971569319801784,1919,31.057469523189123,33.4935848,34.5033509
3g.20gb,31.249407737266683,1875,31.789249442133325,34.0651012,34.9603126
2g.10gb,32.18270494563689,1931,30.869702616261005,33.815375,34.499531000000005
1g.10gb,31.715069177046466,1903,31.336584672622173,33.5560628,34.345141500000004
1g.5gb+me,32.16588134627394,1931,30.881175193682076,33.121168,33.95225
1g.5gb,32.091368811346015,1926,30.967311153167184,33.13351350000001,33.6426765
