"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,90.89692743237129,5454,10.811369970297022,12.648625,12.820280349999999
4g.20gb,88.54074879182458,5313,11.098338257293433,13.27508,13.6501112
3g.20gb,85.18134853692797,5111,11.541482611622003,13.257946,13.6793805
2g.10gb,84.10888785757497,5047,11.689067104418475,12.9809004,13.3013734
1g.10gb,86.1642176053129,5170,11.398233626692452,13.1242132,13.46688555
1g.5gb+me,85.65618857353498,5140,11.478459425097249,13.1702148,13.4592801
1g.5gb,87.22765757503436,5234,11.272085989873878,12.9721394,13.19004385
