"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,201.34389206524762,12081,4.783239064067534,5.118538,5.227832
4g.20gb,190.50393422509543,11431,5.0669403281427545,5.430343,5.5276295
3g.20gb,190.34634020457202,11421,5.070409191664493,5.478635,5.586507
2g.10gb,134.8516735294646,8092,7.220919199456251,7.586464,7.74441655
1g.10gb,115.55763343401502,6934,8.463249403951528,8.792866700000001,8.900062
1g.5gb+me,92.9201080484255,5576,10.548374066535157,10.983493,11.1428245
1g.5gb,94.14206924771464,5649,10.424264828819274,10.773673,10.9291836
