"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,176.35727588274753,10582,5.484672791060286,5.9890519,6.10027695
4g.20gb,165.70265747909906,9943,5.851069413255551,6.2867598,6.38968
3g.20gb,164.03978633883725,9843,5.913127358833677,6.3504612,6.448676000000001
2g.10gb,126.55984293328724,7594,7.708698589544379,8.312507,8.4908497
1g.10gb,110.67321674254929,6641,8.847867569341973,9.221848,9.349827
1g.5gb+me,88.02691309042709,5282,11.151705650700492,11.5377019,11.6834819
1g.5gb,88.11618075292512,5287,11.148792139209373,11.5589074,11.7047404
