"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,228.97007715269442,13739,4.183232962588247,4.461837999999999,4.55627
4g.20gb,210.45019123321816,12628,4.5683477317073,4.829656,4.92191415
3g.20gb,210.82473771713572,12650,4.562581752885385,4.8505929,4.9568305
2g.10gb,158.77694620782566,9527,6.111950851369797,6.5577564,6.730309999999999
1g.10gb,137.2804080983334,8237,7.098609277892458,7.3637684000000005,7.4707612
1g.5gb+me,110.38192224947296,6623,8.857648602597012,9.160629199999999,9.3542779
1g.5gb,112.8531016805843,6772,8.66659113747788,8.991568000000001,9.126580299999999
